GKZ;Gebietsname;Wahlberechtigte;Wahlbeteiligung in %;Stimmen;Ungültig;Gültig;ÖVP;%;SPÖ;%;FPÖ;%;GRÜNE;%;BZÖ;%;NEOS;%;REKOS;%;ANDERS;%;EUSTOP;%;;;;abgegeben;ungültig;gültig
G70319;Inzing;2837;31,79%;902;13;889;306;34,42%;145;16,31%;108;12,15%;195;21,93%;2;0,22%;80;9,00%;8;0,90%;22;2,47%;23;2,59%;;;;;;
G70320;Kematen in Tirol;2113;32,28%;682;9;673;228;33,88%;129;19,17%;95;14,12%;127;18,87%;1;0,15%;63;9,36%;6;0,89%;17;2,53%;7;1,04%;;;;;;
G70322;Kolsass;1277;36,18%;462;13;449;122;27,17%;67;14,92%;97;21,60%;78;17,37%;4;0,89%;44;9,80%;11;2,45%;11;2,45%;15;3,34%;;;;;;
G70323;Kolsassberg;611;33,88%;207;2;205;90;43,90%;27;13,17%;40;19,51%;16;7,80%;0;0,00%;17;8,29%;9;4,39%;2;0,98%;4;1,95%;;;;;;
G70325;Lans;774;42,25%;327;9;318;106;33,33%;33;10,38%;48;15,09%;60;18,87%;1;0,31%;46;14,47%;11;3,46%;7;2,20%;6;1,89%;;;;;;
G70326;Leutasch;1577;25,30%;399;8;391;180;46,04%;38;9,72%;55;14,07%;51;13,04%;0;0,00%;44;11,25%;10;2,56%;6;1,53%;7;1,79%;;;;;;
G70327;Matrei am Brenner;722;38,64%;279;5;274;87;31,75%;70;25,55%;51;18,61%;28;10,22%;1;0,36%;17;6,20%;2;0,73%;8;2,92%;10;3,65%;;;;;;
G70328;Mieders;1301;31,51%;410;6;404;128;31,68%;52;12,87%;68;16,83%;72;17,82%;1;0,25%;60;14,85%;2;0,50%;8;1,98%;13;3,22%;;;;;;
G70329;Mils;3252;40,22%;1308;28;1280;389;30,39%;191;14,92%;240;18,75%;256;20,00%;5;0,39%;132;10,31%;21;1,64%;18;1,41%;28;2,19%;;;;;;
G70330;Mühlbachl;1017;31,07%;316;9;307;143;46,58%;68;22,15%;49;15,96%;20;6,51%;0;0,00%;16;5,21%;5;1,63%;2;0,65%;4;1,30%;;;;;;
G70331;Mutters;1629;34,19%;557;16;541;187;34,57%;83;15,34%;85;15,71%;105;19,41%;3;0,55%;52;9,61%;10;1,85%;7;1,29%;9;1,66%;;;;;;
G70332;Natters;1482;37,79%;560;18;542;194;35,79%;70;12,92%;78;14,39%;127;23,43%;5;0,92%;46;8,49%;6;1,11%;6;1,11%;10;1,85%;;;;;;
G70333;Navis;1595;27,15%;433;19;414;185;44,69%;64;15,46%;79;19,08%;36;8,70%;0;0,00%;26;6,28%;12;2,90%;7;1,69%;5;1,21%;;;;;;
G70334;Neustift im Stubaital;3431;25,21%;865;18;847;340;40,14%;94;11,10%;195;23,02%;100;11,81%;2;0,24%;76;8,97%;16;1,89%;5;0,59%;19;2,24%;;;;;;
G70335;Oberhofen im Inntal;1285;31,67%;407;10;397;122;30,73%;74;18,64%;59;14,86%;83;20,91%;1;0,25%;37;9,32%;6;1,51%;6;1,51%;9;2,27%;;;;;;
G70336;Obernberg am Brenner;278;37,41%;104;5;99;49;49,49%;10;10,10%;20;20,20%;6;6,06%;1;1,01%;8;8,08%;0;0,00%;4;4,04%;1;1,01%;;;;;;
G70337;Oberperfuss;2347;31,83%;747;22;725;240;33,10%;146;20,14%;85;11,72%;134;18,48%;1;0,14%;79;10,90%;9;1,24%;13;1,79%;18;2,48%;;;;;;
G70338;Patsch;783;40,61%;318;5;313;94;30,03%;58;18,53%;44;14,06%;76;24,28%;0;0,00%;26;8,31%;1;0,32%;6;1,92%;8;2,56%;;;;;;
G70339;Pettnau;776;37,76%;293;11;282;94;33,33%;40;14,18%;57;20,21%;44;15,60%;1;0,35%;24;8,51%;4;1,42%;9;3,19%;9;3,19%;;;;;;
G70340;Pfaffenhofen;780;29,62%;231;1;230;63;27,39%;53;23,04%;34;14,78%;50;21,74%;0;0,00%;16;6,96%;2;0,87%;4;1,74%;8;3,48%;;;;;;
G70341;Pfons;1028;34,92%;359;8;351;128;36,47%;62;17,66%;58;16,52%;42;11,97%;1;0,28%;27;7,69%;6;1,71%;12;3,42%;15;4,27%;;;;;;
G70342;Polling in Tirol;730;26,44%;193;5;188;36;19,15%;42;22,34%;46;24,47%;16;8,51%;2;1,06%;25;13,30%;1;0,53%;2;1,06%;18;9,57%;;;;;;
G70343;Ranggen;791;41,09%;325;4;321;125;38,94%;48;14,95%;56;17,45%;44;13,71%;1;0,31%;31;9,66%;7;2,18%;4;1,25%;5;1,56%;;;;;;
G70344;Reith bei Seefeld;849;30,74%;261;1;260;79;30,38%;32;12,31%;53;20,38%;49;18,85%;2;0,77%;35;13,46%;6;2,31%;0;0,00%;4;1,54%;;;;;;
G70345;Rinn;1333;40,14%;535;7;528;160;30,30%;79;14,96%;79;14,96%;99;18,75%;1;0,19%;73;13,83%;8;1,52%;6;1,14%;23;4,36%;;;;;;
G70346;Rum;6800;36,49%;2481;45;2436;496;20,36%;633;25,99%;507;20,81%;475;19,50%;3;0,12%;182;7,47%;21;0,86%;49;2,01%;70;2,87%;;;;;;
G70347;St. Sigmund im Sellrain;136;31,62%;43;0;43;30;69,77%;2;4,65%;6;13,95%;0;0,00%;0;0,00%;1;2,33%;0;0,00%;1;2,33%;3;6,98%;;;;;;
G70348;Scharnitz;985;28,22%;278;6;272;80;29,41%;63;23,16%;66;24,26%;25;9,19%;2;0,74%;10;3,68%;6;2,21%;5;1,84%;15;5,51%;;;;;;
G70349;Schmirn;688;42,01%;289;10;279;162;58,06%;35;12,54%;39;13,98%;16;5,73%;0;0,00%;9;3,23%;11;3,94%;1;0,36%;6;2,15%;;;;;;
G70350;Schönberg im Stubaital;703;34,28%;241;6;235;94;40,00%;40;17,02%;26;11,06%;38;16,17%;0;0,00%;23;9,79%;3;1,28%;2;0,85%;9;3,83%;;;;;;
G70351;Seefeld in Tirol;2041;34,44%;703;18;685;234;34,16%;73;10,66%;135;19,71%;107;15,62%;4;0,58%;97;14,16%;7;1,02%;10;1,46%;18;2,63%;;;;;;
G70352;Sellrain;1130;25,84%;292;4;288;144;50,00%;59;20,49%;38;13,19%;31;10,76%;0;0,00%;12;4,17%;2;0,69%;1;0,35%;1;0,35%;;;;;;
G70353;Sistrans;1658;42,10%;698;14;684;211;30,85%;72;10,53%;79;11,55%;207;30,26%;1;0,15%;83;12,13%;4;0,58%;6;0,88%;21;3,07%;;;;;;
G70354;Hall in Tirol;9385;35,82%;3362;68;3294;800;24,29%;633;19,22%;594;18,03%;716;21,74%;9;0,27%;331;10,05%;55;1,67%;72;2,19%;84;2,55%;;;;;;
G70355;Steinach am Brenner;2637;32,80%;865;22;843;263;31,20%;156;18,51%;177;21,00%;123;14,59%;2;0,24%;80;9,49%;19;2,25%;10;1,19%;13;1,54%;;;;;;
G70356;Telfes im Stubai;1189;31,37%;373;7;366;134;36,61%;56;15,30%;46;12,57%;66;18,03%;1;0,27%;36;9,84%;8;2,19%;9;2,46%;10;2,73%;;;;;;
G70357;Telfs;10671;24,81%;2647;44;2603;557;21,40%;523;20,09%;533;20,48%;608;23,36%;18;0,69%;217;8,34%;39;1,50%;36;1,38%;72;2,77%;;;;;;
G70358;Thaur;2942;33,45%;984;17;967;320;33,09%;154;15,93%;145;14,99%;192;19,86%;1;0,10%;104;10,75%;11;1,14%;12;1,24%;28;2,90%;;;;;;
G70359;Trins;1013;34,95%;354;11;343;115;33,53%;65;18,95%;60;17,49%;55;16,03%;1;0,29%;30;8,75%;8;2,33%;4;1,17%;5;1,46%;;;;;;
G70360;Tulfes;1144;34,53%;395;11;384;134;34,90%;30;7,81%;90;23,44%;60;15,63%;3;0,78%;40;10,42%;6;1,56%;5;1,30%;16;4,17%;;;;;;
G70361;Unterperfuss;184;24,46%;45;0;45;23;51,11%;4;8,89%;9;20,00%;4;8,89%;0;0,00%;4;8,89%;0;0,00%;1;2,22%;0;0,00%;;;;;;
G70362;Vals;431;42,00%;181;3;178;97;54,49%;18;10,11%;35;19,66%;10;5,62%;0;0,00%;9;5,06%;2;1,12%;0;0,00%;7;3,93%;;;;;;
G70364;Völs;5165;35,59%;1838;36;1802;501;27,80%;341;18,92%;326;18,09%;338;18,76%;9;0,50%;166;9,21%;28;1,55%;40;2,22%;53;2,94%;;;;;;
G70365;Volders;3465;28,92%;1002;21;981;278;28,34%;144;14,68%;270;27,52%;156;15,90%;7;0,71%;76;7,75%;9;0,92%;17;1,73%;24;2,45%;;;;;;
G70366;Wattenberg;584;38,53%;225;3;222;96;43,24%;6;2,70%;56;25,23%;23;10,36%;2;0,90%;22;9,91%;7;3,15%;5;2,25%;5;2,25%;;;;;;
G70367;Wattens;6029;31,86%;1921;36;1885;489;25,94%;305;16,18%;469;24,88%;292;15,49%;9;0,48%;169;8,97%;43;2,28%;30;1,59%;79;4,19%;;;;;;
G70368;Wildermieming;675;41,19%;278;7;271;109;40,22%;36;13,28%;31;11,44%;41;15,13%;2;0,74%;34;12,55%;4;1,48%;9;3,32%;5;1,85%;;;;;;
G70369;Zirl;5882;30,64%;1802;37;1765;399;22,61%;329;18,64%;286;16,20%;414;23,46%;4;0,23%;201;11,39%;30;1,70%;39;2,21%;63;3,57%;;;;;;
G70399;Wahlkarten - Innsbruck-Land;0;;6142;47;6095;1478;24,25%;933;15,31%;885;14,52%;1475;24,20%;19;0,31%;988;16,21%;55;0,90%;103;1,69%;159;2,61%;;;;;;
G70400;Kitzbühel;46092;34,20%;15765;287;15478;5820;37,60%;2532;16,36%;2847;18,39%;2122;13,71%;65;0,42%;1329;8,59%;172;1,11%;185;1,20%;406;2,62%;;;;;;
G70401;Aurach bei Kitzbühel;859;26,89%;231;4;227;116;51,10%;26;11,45%;43;18,94%;21;9,25%;1;0,44%;15;6,61%;0;0,00%;1;0,44%;4;1,76%;;;;;;
G70402;Brixen im Thale;2003;30,05%;602;19;583;274;47,00%;98;16,81%;83;14,24%;78;13,38%;3;0,51%;34;5,83%;3;0,51%;3;0,51%;7;1,20%;;;;;;
G70403;Fieberbrunn;3351;31,01%;1039;15;1024;344;33,59%;234;22,85%;195;19,04%;141;13,77%;3;0,29%;55;5,37%;17;1,66%;11;1,07%;24;2,34%;;;;;;
G70404;Going am Wilden Kaiser;1326;27,53%;365;6;359;138;38,44%;39;10,86%;95;26,46%;45;12,53%;2;0,56%;23;6,41%;4;1,11%;5;1,39%;8;2,23%;;;;;;
G70405;Hochfilzen;898;39,87%;358;3;355;132;37,18%;115;32,39%;47;13,24%;26;7,32%;2;0,56%;16;4,51%;6;1,69%;4;1,13%;7;1,97%;;;;;;
G70406;Hopfgarten im Brixental;4256;30,22%;1286;27;1259;583;46,31%;167;13,26%;189;15,01%;166;13,19%;6;0,48%;85;6,75%;24;1,91%;19;1,51%;20;1,59%;;;;;;
G70407;Itter;887;42,28%;375;8;367;172;46,87%;47;12,81%;54;14,71%;33;8,99%;0;0,00%;44;11,99%;1;0,27%;2;0,54%;14;3,81%;;;;;;
G70408;Jochberg;1191;34,76%;414;5;409;153;37,41%;67;16,38%;110;26,89%;40;9,78%;1;0,24%;33;8,07%;2;0,49%;3;0,73%;0;0,00%;;;;;;
G70409;Kirchberg in Tirol;3683;28,37%;1045;28;1017;391;38,45%;220;21,63%;171;16,81%;117;11,50%;6;0,59%;72;7,08%;15;1,47%;12;1,18%;13;1,28%;;;;;;
G70410;Kirchdorf in Tirol;2830;24,91%;705;11;694;250;36,02%;99;14,27%;170;24,50%;92;13,26%;3;0,43%;49;7,06%;8;1,15%;10;1,44%;13;1,87%;;;;;;
G70411;Kitzbühel;6013;27,21%;1636;34;1602;520;32,46%;265;16,54%;335;20,91%;219;13,67%;7;0,44%;165;10,30%;17;1,06%;25;1,56%;49;3,06%;;;;;;
G70412;Kössen;2982;27,70%;826;11;815;370;45,40%;81;9,94%;165;20,25%;92;11,29%;7;0,86%;65;7,98%;3;0,37%;10;1,23%;22;2,70%;;;;;;
G70413;Oberndorf in Tirol;1559;34,89%;544;15;529;205;38,75%;126;23,82%;88;16,64%;61;11,53%;1;0,19%;24;4,54%;3;0,57%;5;0,95%;16;3,02%;;;;;;
G70414;Reith bei Kitzbühel;1177;32,97%;388;8;380;164;43,16%;39;10,26%;57;15,00%;61;16,05%;1;0,26%;41;10,79%;3;0,79%;5;1,32%;9;2,37%;;;;;;
G70415;St. Jakob in Haus;562;38,61%;217;5;212;87;41,04%;33;15,57%;25;11,79%;40;18,87%;0;0,00%;12;5,66%;2;0,94%;2;0,94%;11;5,19%;;;;;;
G70416;St. Johann in Tirol;6492;32,61%;2117;42;2075;605;29,16%;321;15,47%;463;22,31%;339;16,34%;7;0,34%;202;9,73%;31;1,49%;31;1,49%;76;3,66%;;;;;;
G70417;St. Ulrich am Pillersee;1197;29,66%;355;7;348;168;48,28%;42;12,07%;51;14,66%;36;10,34%;2;0,57%;34;9,77%;6;1,72%;4;1,15%;5;1,44%;;;;;;
G70418;Schwendt;572;33,39%;191;1;190;106;55,79%;19;10,00%;29;15,26%;16;8,42%;0;0,00%;17;8,95%;0;0,00%;0;0,00%;3;1,58%;;;;;;
G70419;Waidring;1474;34,53%;509;11;498;183;36,75%;75;15,06%;106;21,29%;67;13,45%;2;0,40%;29;5,82%;8;1,61%;4;0,80%;24;4,82%;;;;;;
G70420;Westendorf;2780;26,22%;729;11;718;288;40,11%;131;18,25%;125;17,41%;92;12,81%;1;0,14%;47;6,55%;5;0,70%;11;1,53%;18;2,51%;;;;;;
G70499;Wahlkarten - Kitzbühel;0;;1833;16;1817;571;31,43%;288;15,85%;246;13,54%;340;18,71%;10;0,55%;267;14,69%;14;0,77%;18;0,99%;63;3,47%;;;;;;
G70500;Kufstein;75450;34,69%;26173;430;25743;8447;32,81%;4486;17,43%;5166;20,07%;3815;14,82%;140;0,54%;2080;8,08%;372;1,45%;385;1,50%;852;3,31%;;;;;;
G70501;Alpbach;1916;34,24%;656;11;645;386;59,84%;35;5,43%;111;17,21%;56;8,68%;5;0,78%;39;6,05%;4;0,62%;4;0,62%;5;0,78%;;;;;;
G70502;Angath;727;33,01%;240;4;236;83;35,17%;41;17,37%;51;21,61%;27;11,44%;1;0,42%;18;7,63%;5;2,12%;3;1,27%;7;2,97%;;;;;;
G70503;Bad Häring;2010;33,63%;676;6;670;178;26,57%;208;31,04%;92;13,73%;119;17,76%;8;1,19%;30;4,48%;3;0,45%;13;1,94%;19;2,84%;;;;;;
G70504;Brandenberg;1211;32,87%;398;9;389;212;54,50%;65;16,71%;60;15,42%;32;8,23%;1;0,26%;12;3,08%;1;0,26%;0;0,00%;6;1,54%;;;;;;
G70505;Breitenbach am Inn;2590;34,48%;893;19;874;382;43,71%;115;13,16%;161;18,42%;110;12,59%;3;0,34%;54;6,18%;17;1,95%;9;1,03%;23;2,63%;;;;;;
G70506;Brixlegg;2173;34,05%;740;13;727;221;30,40%;106;14,58%;170;23,38%;115;15,82%;5;0,69%;75;10,32%;11;1,51%;8;1,10%;16;2,20%;;;;;;
G70508;Ebbs;3952;32,31%;1277;18;1259;428;34,00%;158;12,55%;327;25,97%;162;12,87%;12;0,95%;113;8,98%;21;1,67%;9;0,71%;29;2,30%;;;;;;
G70509;Ellmau;1861;28,75%;535;12;523;217;41,49%;65;12,43%;115;21,99%;57;10,90%;1;0,19%;44;8,41%;12;2,29%;3;0,57%;9;1,72%;;;;;;
G70510;Erl;1039;36,19%;376;7;369;172;46,61%;40;10,84%;43;11,65%;58;15,72%;2;0,54%;31;8,40%;9;2,44%;5;1,36%;9;2,44%;;;;;;
G70511;Kirchbichl;4196;35,46%;1488;29;1459;344;23,58%;409;28,03%;333;22,82%;194;13,30%;7;0,48%;94;6,44%;12;0,82%;18;1,23%;48;3,29%;;;;;;
G70512;Kramsach;3683;31,52%;1161;19;1142;332;29,07%;172;15,06%;213;18,65%;223;19,53%;4;0,35%;124;10,86%;11;0,96%;21;1,84%;42;3,68%;;;;;;
G70513;Kufstein;11992;30,11%;3611;41;3570;824;23,08%;737;20,64%;795;22,27%;663;18,57%;14;0,39%;258;7,23%;51;1,43%;71;1,99%;157;4,40%;;;;;;
G70514;Kundl;3083;25,98%;801;14;787;244;31,00%;180;22,87%;156;19,82%;116;14,74%;6;0,76%;44;5,59%;14;1,78%;8;1,02%;19;2,41%;;;;;;
G70515;Langkampfen;2935;33,22%;975;19;956;230;24,06%;240;25,10%;229;23,95%;106;11,09%;5;0,52%;65;6,80%;19;1,99%;14;1,46%;48;5,02%;;;;;;
G70516;Mariastein;255;46,27%;118;3;115;39;33,91%;12;10,43%;17;14,78%;21;18,26%;0;0,00%;16;13,91%;3;2,61%;2;1,74%;5;4,35%;;;;;;
G70517;Münster;2529;30,25%;765;12;753;179;23,77%;171;22,71%;175;23,24%;103;13,68%;5;0,66%;64;8,50%;6;0,80%;13;1,73%;37;4,91%;;;;;;
G70518;Niederndorf;1967;33,55%;660;12;648;254;39,20%;78;12,04%;139;21,45%;79;12,19%;4;0,62%;56;8,64%;11;1,70%;11;1,70%;16;2,47%;;;;;;
G70519;Niederndorferberg;478;28,66%;137;4;133;73;54,89%;7;5,26%;25;18,80%;17;12,78%;0;0,00%;4;3,01%;2;1,50%;2;1,50%;3;2,26%;;;;;;
G70520;Radfeld;1669;31,40%;524;9;515;140;27,18%;102;19,81%;139;26,99%;56;10,87%;2;0,39%;31;6,02%;5;0,97%;9;1,75%;31;6,02%;;;;;;
G70521;Rattenberg;298;29,19%;87;0;87;26;29,89%;15;17,24%;24;27,59%;12;13,79%;0;0,00%;3;3,45%;0;0,00%;3;3,45%;4;4,60%;;;;;;
G70522;Reith im Alpbachtal;2025;27,56%;558;5;553;253;45,75%;69;12,48%;86;15,55%;77;13,92%;0;0,00%;47;8,50%;4;0,72%;5;0,90%;12;2,17%;;;;;;
G70523;Rettenschöss;345;32,75%;113;2;111;74;66,67%;2;1,80%;10;9,01%;7;6,31%;0;0,00%;10;9,01%;3;2,70%;1;0,90%;4;3,60%;;;;;;
G70524;Scheffau am Wilden Kaiser;1005;32,14%;323;11;312;160;51,28%;31;9,94%;38;12,18%;50;16,03%;1;0,32%;21;6,73%;2;0,64%;2;0,64%;7;2,24%;;;;;;
G70525;Schwoich;1816;32,82%;596;15;581;229;39,41%;91;15,66%;106;18,24%;69;11,88%;5;0,86%;43;7,40%;15;2,58%;3;0,52%;20;3,44%;;;;;;
G70526;Söll;2635;29,94%;789;7;782;358;45,78%;104;13,30%;144;18,41%;107;13,68%;1;0,13%;41;5,24%;11;1,41%;6;0,77%;10;1,28%;;;;;;
G70527;Thiersee;2104;37,07%;780;14;766;341;44,52%;109;14,23%;118;15,40%;102;13,32%;4;0,52%;57;7,44%;19;2,48%;5;0,65%;11;1,44%;;;;;;
G70528;Angerberg;1446;34,85%;504;10;494;155;31,38%;64;12,96%;112;22,67%;74;14,98%;2;0,40%;55;11,13%;2;0,40%;10;2,02%;20;4,05%;;;;;;
G70529;Walchsee;1286;29,55%;380;8;372;161;43,28%;21;5,65%;95;25,54%;33;8,87%;1;0,27%;36;9,68%;14;3,76%;2;0,54%;9;2,42%;;;;;;
G70530;Wildschönau;3184;30,59%;974;20;954;546;57,23%;62;6,50%;121;12,68%;71;7,44%;6;0,63%;71;7,44%;37;3,88%;10;1,05%;30;3,14%;;;;;;
G70531;Wörgl;9040;28,06%;2537;45;2492;517;20,75%;579;23,23%;630;25,28%;415;16,65%;18;0,72%;165;6,62%;18;0,72%;57;2,29%;93;3,73%;;;;;;
G70599;Wahlkarten - Kufstein;0;;2501;32;2469;689;27,91%;398;16,12%;331;13,41%;484;19,60%;17;0,69%;359;14,54%;30;1,22%;58;2,35%;103;4,17%;;;;;;
G70600;Landeck;33697;30,62%;10319;189;10130;4541;44,83%;1623;16,02%;1274;12,58%;1183;11,68%;32;0,32%;919;9,07%;220;2,17%;106;1,05%;232;2,29%;;;;;;
G70601;Faggen;265;26,04%;69;2;67;39;58,21%;7;10,45%;5;7,46%;11;16,42%;0;0,00%;3;4,48%;0;0,00%;0;0,00%;2;2,99%;;;;;;
G70602;Fendels;199;42,71%;85;2;83;65;78,31%;5;6,02%;2;2,41%;4;4,82%;0;0,00%;6;7,23%;0;0,00%;0;0,00%;1;1,20%;;;;;;
G70603;Fiss;677;25,55%;173;2;171;114;66,67%;3;1,75%;11;6,43%;13;7,60%;1;0,58%;25;14,62%;2;1,17%;0;0,00%;2;1,17%;;;;;;
G70604;Fließ;2319;32,90%;763;13;750;333;44,40%;163;21,73%;101;13,47%;70;9,33%;4;0,53%;47;6,27%;11;1,47%;3;0,40%;18;2,40%;;;;;;
G70605;Flirsch;747;27,31%;204;5;199;69;34,67%;49;24,62%;26;13,07%;25;12,56%;0;0,00%;21;10,55%;0;0,00%;5;2,51%;4;2,01%;;;;;;
G70606;Galtür;624;34,29%;214;1;213;135;63,38%;4;1,88%;35;16,43%;13;6,10%;2;0,94%;14;6,57%;2;0,94%;1;0,47%;7;3,29%;;;;;;
G70607;Grins;1075;27,16%;292;6;286;123;43,01%;50;17,48%;30;10,49%;28;9,79%;1;0,35%;32;11,19%;10;3,50%;3;1,05%;9;3,15%;;;;;;
G70608;Ischgl;1191;19,40%;231;2;229;133;58,08%;25;10,92%;34;14,85%;15;6,55%;2;0,87%;14;6,11%;5;2,18%;0;0,00%;1;0,44%;;;;;;
G70609;Kappl;2077;25,57%;531;1;530;351;66,23%;20;3,77%;84;15,85%;25;4,72%;1;0,19%;34;6,42%;7;1,32%;3;0,57%;5;0,94%;;;;;;
G70610;Kaunerberg;323;28,48%;92;0;92;75;81,52%;6;6,52%;3;3,26%;5;5,43%;0;0,00%;2;2,17%;1;1,09%;0;0,00%;0;0,00%;;;;;;
G70611;Kaunertal;457;31,73%;145;2;143;92;64,34%;12;8,39%;8;5,59%;16;11,19%;0;0,00%;12;8,39%;0;0,00%;0;0,00%;3;2,10%;;;;;;
G70612;Kauns;386;23,83%;92;0;92;61;66,30%;6;6,52%;6;6,52%;10;10,87%;0;0,00%;5;5,43%;1;1,09%;2;2,17%;1;1,09%;;;;;;
G70613;Ladis;417;23,02%;96;2;94;57;60,64%;8;8,51%;3;3,19%;8;8,51%;0;0,00%;14;14,89%;0;0,00%;0;0,00%;4;4,26%;;;;;;
G70614;Landeck;5748;29,92%;1720;41;1679;539;32,10%;394;23,47%;242;14,41%;241;14,35%;1;0,06%;135;8,04%;51;3,04%;28;1,67%;48;2,86%;;;;;;
G70615;Nauders;1151;20,85%;240;9;231;129;55,84%;24;10,39%;30;12,99%;18;7,79%;3;1,30%;16;6,93%;5;2,16%;1;0,43%;5;2,16%;;;;;;
G70616;Pettneu am Arlberg;1118;28,00%;313;9;304;107;35,20%;42;13,82%;46;15,13%;46;15,13%;5;1,64%;35;11,51%;14;4,61%;4;1,32%;5;1,64%;;;;;;
G70617;Pfunds;1951;22,09%;431;4;427;201;47,07%;89;20,84%;58;13,58%;42;9,84%;1;0,23%;21;4,92%;4;0,94%;3;0,70%;8;1,87%;;;;;;
G70618;Pians;624;32,85%;205;5;200;98;49,00%;25;12,50%;35;17,50%;14;7,00%;0;0,00%;15;7,50%;4;2,00%;2;1,00%;7;3,50%;;;;;;
G70619;Prutz;1282;25,43%;326;6;320;112;35,00%;48;15,00%;64;20,00%;47;14,69%;0;0,00%;22;6,88%;7;2,19%;7;2,19%;13;4,06%;;;;;;
G70620;Ried im Oberinntal;955;25,45%;243;5;238;92;38,66%;44;18,49%;34;14,29%;37;15,55%;2;0,84%;18;7,56%;6;2,52%;0;0,00%;5;2,10%;;;;;;
G70621;St. Anton am Arlberg;1804;23,78%;429;8;421;192;45,61%;29;6,89%;55;13,06%;75;17,81%;1;0,24%;45;10,69%;11;2,61%;5;1,19%;8;1,90%;;;;;;
G70622;Schönwies;1328;30,42%;404;10;394;146;37,06%;131;33,25%;32;8,12%;38;9,64%;1;0,25%;28;7,11%;5;1,27%;6;1,52%;7;1,78%;;;;;;
G70623;See;915;20,22%;185;1;184;106;57,61%;9;4,89%;23;12,50%;10;5,43%;1;0,54%;12;6,52%;17;9,24%;1;0,54%;5;2,72%;;;;;;
G70624;Serfaus;858;30,42%;261;5;256;154;60,16%;22;8,59%;18;7,03%;22;8,59%;0;0,00%;29;11,33%;5;1,95%;5;1,95%;1;0,39%;;;;;;
G70625;Spiss;103;16,50%;17;1;16;12;75,00%;1;6,25%;2;12,50%;1;6,25%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;;;;;;
G70626;Stanz bei Landeck;483;29,81%;144;5;139;59;42,45%;37;26,62%;11;7,91%;16;11,51%;0;0,00%;10;7,19%;1;0,72%;3;2,16%;2;1,44%;;;;;;
G70627;Strengen;963;29,91%;288;10;278;118;42,45%;53;19,06%;32;11,51%;21;7,55%;1;0,36%;22;7,91%;13;4,68%;5;1,80%;13;4,68%;;;;;;
G70628;Tobadill;423;25,53%;108;4;104;67;64,42%;11;10,58%;11;10,58%;7;6,73%;0;0,00%;4;3,85%;2;1,92%;0;0,00%;2;1,92%;;;;;;
G70629;Tösens;553;18,26%;101;4;97;39;40,21%;11;11,34%;23;23,71%;7;7,22%;3;3,09%;8;8,25%;1;1,03%;1;1,03%;4;4,12%;;;;;;
G70630;Zams;2681;32,64%;875;11;864;342;39,58%;162;18,75%;103;11,92%;124;14,35%;1;0,12%;94;10,88%;16;1,85%;9;1,04%;13;1,50%;;;;;;
G70699;Wahlkarten - Landeck;0;;1042;13;1029;381;37,03%;133;12,93%;107;10,40%;174;16,91%;1;0,10%;176;17,10%;19;1,85%;9;0,87%;29;2,82%;;;;;;
G70700;Lienz;40174;34,74%;13955;367;13588;5995;44,12%;2020;14,87%;2067;15,21%;1559;11,47%;55;0,40%;1163;8,56%;214;1,57%;183;1,35%;332;2,44%;;;;;;
G70701;Abfaltersbach;488;41,80%;204;4;200;142;71,00%;12;6,00%;14;7,00%;7;3,50%;0;0,00%;16;8,00%;4;2,00%;0;0,00%;5;2,50%;;;;;;
G70702;Ainet;769;32,25%;248;4;244;96;39,34%;31;12,70%;42;17,21%;23;9,43%;1;0,41%;32;13,11%;12;4,92%;2;0,82%;5;2,05%;;;;;;
G70703;Amlach;322;29,50%;95;0;95;40;42,11%;13;13,68%;21;22,11%;8;8,42%;0;0,00%;6;6,32%;5;5,26%;2;2,11%;0;0,00%;;;;;;
G70704;Anras;1037;29,80%;309;4;305;172;56,39%;31;10,16%;47;15,41%;23;7,54%;2;0,66%;18;5,90%;2;0,66%;2;0,66%;8;2,62%;;;;;;
G70705;Assling;1523;41,50%;632;26;606;332;54,79%;75;12,38%;69;11,39%;61;10,07%;4;0,66%;52;8,58%;4;0,66%;5;0,83%;4;0,66%;;;;;;
G70706;Außervillgraten;639;37,72%;241;3;238;176;73,95%;14;5,88%;17;7,14%;11;4,62%;2;0,84%;11;4,62%;2;0,84%;3;1,26%;2;0,84%;;;;;;
G70707;Dölsach;1810;32,82%;594;20;574;205;35,71%;110;19,16%;105;18,29%;67;11,67%;3;0,52%;49;8,54%;9;1,57%;15;2,61%;11;1,92%;;;;;;
G70708;Gaimberg;688;36,19%;249;7;242;105;43,39%;31;12,81%;29;11,98%;37;15,29%;1;0,41%;23;9,50%;7;2,89%;3;1,24%;6;2,48%;;;;;;
G70709;Hopfgarten in Defereggen;633;27,96%;177;5;172;120;69,77%;8;4,65%;18;10,47%;2;1,16%;0;0,00%;12;6,98%;4;2,33%;2;1,16%;6;3,49%;;;;;;
G70710;Innervillgraten;747;29,45%;220;3;217;157;72,35%;10;4,61%;14;6,45%;14;6,45%;0;0,00%;13;5,99%;3;1,38%;0;0,00%;6;2,76%;;;;;;
